"time","call_identity_connected","cleanup_detach_events","cleanup_shots_scheduled","client_disconnected","fire_vehicle_weapon","fire_weapon","interact_vehicle","projectile_impact","reload_vehicle_weapon","reload_weapon","request_chunks","reset_map","send_chat","set_loadout","set_username","switch_vehicle_weapon","sync_entity_transform","tick_environment","tick_grenades","tick_health_regen","tick_vehicles","update_position","update_vehicle_input","vehicle_projectile_impact"
"2026-03-17T10:57:00.000Z",0,0.000013384100000024546,0.00002954409999995633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006648000000009092,0.0018948399999658251,0.00007731640000017138,0.010051814000371452,0,0,0
"2026-03-17T10:57:30.000Z",0,0.000010784000000008122,0.000024764100000052027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008491999999993282,0.0018361644000435718,0.00007155640000000574,0.009315135699853273,0,0,0
"2026-03-17T10:58:00.000Z",0,0.000011915999999967398,0.000025784099999981436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000990400000000502,0.0018096998999794778,0.00006860829999997265,0.009529266799836478,0,0,0
"2026-03-17T10:58:30.000Z",0,0.000016612099999990804,0.000025916199999986845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008588000000009366,0.0017123629999900914,0.00007554059999979046,0.00952923099994223,0,0,0
"2026-03-17T10:59:00.000Z",0,0.000012388099999993685,0.0000249600000000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010099999999990672,0.0018429799000045932,0.00007813239999983069,0.009616005800353378,0,0,0
"2026-03-17T10:59:30.000Z",0,0.000013460200000015022,0.00002934019999996096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009671999999993908,0.0018523790999836365,0.00006846820000010468,0.009455935200412569,0,0,0
"2026-03-17T11:00:00.000Z",0,0.000011963999999986542,0.000027052100000002356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000064400999999936205,0.0018814045999704376,0.00008266439999982111,0.009630952599809462,0,0,0
"2026-03-17T11:00:30.000Z",0,0.00001562410000000014,0.0000306080999999736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006276000000005056,0.0018083522999631898,0.0000877562999999526,0.009367598100334362,0,0,0
"2026-03-17T11:01:00.000Z",0,0.000011288000000009291,0.000029263999999962212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007095999999995329,0.0020660218000330133,0.00008136820000004263,0.00978421130021161,0,0,0
"2026-03-17T11:01:30.000Z",0,0.000010652000000010987,0.000029592000000011612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009379999999992173,0.0018600599000365037,0.00007634850000002303,0.009735439000405677,0,0,0
